match_id,date,season,league_code,league,team,opponent,venue,is_home,goals_for,goals_against,goal_difference,result,points,win,draw,loss,scored,clean_sheet,over_2_5,btts,shots_for,shots_against,shots_on_target_for,shots_on_target_against,corners_for,corners_against,fouls_for,fouls_against,yellow_cards,opponent_yellow_cards,red_cards,opponent_red_cards,team_game_number
E0_20260107_ManCity_Brighton,2026-01-07,2526,E0,Premier League,Man City,Brighton,HOME,1,1,1,0,D,1,0,1,0,1,0,0,1,22.0,6.0,6.0,3.0,6.0,2.0,6.0,16.0,1.0,6.0,0.0,0.0,401
E0_20260107_ManCity_Brighton,2026-01-07,2526,E0,Premier League,Brighton,Man City,AWAY,0,1,1,0,D,1,0,1,0,1,0,0,1,6.0,22.0,3.0,6.0,2.0,6.0,16.0,6.0,6.0,1.0,0.0,0.0,325
E0_20260107_Newcastle_Leeds,2026-01-07,2526,E0,Premier League,Newcastle,Leeds,HOME,1,4,3,1,W,3,1,0,0,1,0,1,1,18.0,14.0,8.0,6.0,8.0,4.0,11.0,10.0,3.0,2.0,0.0,0.0,363
E0_20260107_Newcastle_Leeds,2026-01-07,2526,E0,Premier League,Leeds,Newcastle,AWAY,0,3,4,-1,L,0,0,0,1,1,0,1,1,14.0,18.0,6.0,8.0,4.0,8.0,10.0,11.0,2.0,3.0,0.0,0.0,135
E0_20260108_Arsenal_Liverpool,2026-01-08,2526,E0,Premier League,Arsenal,Liverpool,HOME,1,0,0,0,D,1,0,1,0,0,1,0,0,9.0,8.0,4.0,0.0,3.0,0.0,10.0,9.0,2.0,2.0,0.0,0.0,401
E0_20260108_Arsenal_Liverpool,2026-01-08,2526,E0,Premier League,Liverpool,Arsenal,AWAY,0,0,0,0,D,1,0,1,0,0,1,0,0,8.0,9.0,0.0,4.0,0.0,3.0,9.0,10.0,2.0,2.0,0.0,0.0,401
D1_20260109_EinFrankfurt_Dortmund,2026-01-09,2526,D1,Bundesliga,Ein Frankfurt,Dortmund,HOME,1,3,3,0,D,1,0,1,0,1,0,1,1,12.0,16.0,6.0,6.0,2.0,5.0,14.0,6.0,3.0,3.0,0.0,0.0,356
D1_20260109_EinFrankfurt_Dortmund,2026-01-09,2526,D1,Bundesliga,Dortmund,Ein Frankfurt,AWAY,0,3,3,0,D,1,0,1,0,1,0,1,1,16.0,12.0,6.0,6.0,5.0,2.0,6.0,14.0,3.0,3.0,0.0,0.0,356
D1_20260110_Freiburg_Hamburg,2026-01-10,2526,D1,Bundesliga,Freiburg,Hamburg,HOME,1,2,1,1,W,3,1,0,0,1,0,1,1,20.0,10.0,7.0,5.0,0.0,3.0,13.0,11.0,3.0,5.0,0.0,1.0,322
D1_20260110_Freiburg_Hamburg,2026-01-10,2526,D1,Bundesliga,Hamburg,Freiburg,AWAY,0,1,2,-1,L,0,0,0,1,1,0,1,1,10.0,20.0,5.0,7.0,3.0,0.0,11.0,13.0,5.0,3.0,1.0,0.0,118
D1_20260110_Heidenheim_FCKoln,2026-01-10,2526,D1,Bundesliga,Heidenheim,FC Koln,HOME,1,2,2,0,D,1,0,1,0,1,0,1,1,14.0,21.0,6.0,9.0,5.0,4.0,9.0,7.0,2.0,1.0,0.0,0.0,84
D1_20260110_Heidenheim_FCKoln,2026-01-10,2526,D1,Bundesliga,FC Koln,Heidenheim,AWAY,0,2,2,0,D,1,0,1,0,1,0,1,1,21.0,14.0,9.0,6.0,4.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,288
D1_20260110_Leverkusen_Stuttgart,2026-01-10,2526,D1,Bundesliga,Leverkusen,Stuttgart,HOME,1,1,4,-3,L,0,0,0,1,1,0,1,1,16.0,10.0,4.0,7.0,5.0,3.0,13.0,11.0,4.0,2.0,0.0,0.0,356
D1_20260110_Leverkusen_Stuttgart,2026-01-10,2526,D1,Bundesliga,Stuttgart,Leverkusen,AWAY,0,4,1,3,W,3,1,0,0,1,0,1,1,10.0,16.0,7.0,4.0,3.0,5.0,11.0,13.0,2.0,4.0,0.0,0.0,288
D1_20260110_UnionBerlin_Mainz,2026-01-10,2526,D1,Bundesliga,Union Berlin,Mainz,HOME,1,2,2,0,D,1,0,1,0,1,0,1,1,17.0,9.0,5.0,6.0,2.0,1.0,9.0,8.0,2.0,0.0,0.0,0.0,220
D1_20260110_UnionBerlin_Mainz,2026-01-10,2526,D1,Bundesliga,Mainz,Union Berlin,AWAY,0,2,2,0,D,1,0,1,0,1,0,1,1,9.0,17.0,6.0,5.0,1.0,2.0,8.0,9.0,0.0,2.0,0.0,0.0,356
N1_20260110_AZAlkmaar_Volendam,2026-01-10,2526,N1,Eredivisie,AZ Alkmaar,Volendam,HOME,1,1,0,1,W,3,1,0,0,1,1,0,0,17.0,7.0,8.0,2.0,7.0,2.0,10.0,9.0,0.0,1.0,0.0,0.0,348
N1_20260110_AZAlkmaar_Volendam,2026-01-10,2526,N1,Eredivisie,Volendam,AZ Alkmaar,AWAY,0,0,1,-1,L,0,0,0,1,0,0,0,0,7.0,17.0,2.0,8.0,2.0,7.0,9.0,10.0,1.0,0.0,0.0,0.0,86
